Lyric,Emotion
Whoops! Is that a subliminal hint?,Anger
Givin' bystanders heart-attacks,Anger
"And I'm a drop it on yo f***in' head, ha ha",Anger
The kings from Memphis man riding in my Chevy truck,Anger
"You kick up the leaves, and the magic is lost",Sad
Someone get this freak a leash,Anger
"The colors of the rainbow, so pretty in the sky",Joy
"Oh, I feel it so, so deep inside",Sad
Do the chairs in your parlor seem empty and bare?,Sad
sharing everything you do,Sad
Childhood living is easy to do,Sad
Fore we find out where yo' bitch get her hair and nails done,Anger
So I'm sorry to my unknown lover,Sad
"The face I came to know is missin', too",Sad
Nowhere you can be that isn't where you're meant to be,Joy
"I wish nothing but the best for you, too",Sad
"Show no mercy, B.K., nigga, thirsty thirsty",Anger
Yeah!,Anger
Always comes before a fall,Joy
Shine a light through an open door,Joy
"Fuck with me, I been through Hell, shut the hell up",Anger
Punk gay sensitive little dick bastards,Anger
I love you 'til the last of snow disappears,Joy
But I form like Voltron and blast you with my shoulder missiles,Anger
Tell me that it wasn't my fault,Anger
They tell me your passion's gone away,Sad
You better keep your mind on the real shit,Anger
"I cry when angels deserve to die, die, die",Anger
"My dog died, they put him in a plastic bag (Lord)",Anger
When I was your man,Sad
"Free me of your life, inside my heart dies",Anger
"Just hope you're heaven-sent, and you're hell-proof",Anger
On Blue Bayou,Sad
"Fuck you, I won't do what you tell me",Anger
"In 2002, if you asked me to make a wish",Anger
I like to think that we had it all,Sad
"Hello, it's me",Sad
"Mug the manager like, ""What the FUCK'S POPPIN'?,",Anger
"Hey, I oughtta leave young thing alone",Sad
You know what the movements like,Anger
Can the lonely take the place of you,Sad
It's time to go home now and I've got an aching head,Joy
"Say it, spit it out, what is it exactly",Anger
"Disrespect, please remember, stains we gon' spray them round",Anger
I have no place to go,Sad
"I'll slit his throat, dick in the mud and let his blood choke em",Anger
"Hello, can you hear me?",Sad
"I'm movin' on, I'm feeling strong inside but",Sad
I want to grow old with you,Fear
"I'm makin' hits, singing songs of death in Autotune,",Anger
I never knew lonely could be so blue,Sad
For tryin' to tuck the necklace,Anger
 when I hold you in my arms My love won't do you no harm,Joy
Faith has been broken tears must be cried,Sad
"It is easy to say, but it's never the same",Sad
Cause my grandmother sucked my dick and I didn't come (oh),Anger
Ya'll reppin' that five still,Anger
I'm taking over shit easily,Anger
Where those fishing boats,Sad
"My suggestion, is to keep your distance Cause right now I'm dangerous",Anger
"I'll never love again, oh, oh, oh, oh",Sad
"I come rough, tough like an elephant tusk",Anger
I fuck the crowd up that's what I do,Anger
Just refuse whenever they asked to do shit,Anger
"Three or four times in a tub, but that's normal — ain't it, Norman?",Anger
