Lyric,Title,Singer,Feeling,Label
Whoops! Is that a subliminal hint?,Kill You,Eminem,Anger,0
Givin' bystanders heart-attacks,Bring da Ruckus,Wu-Tang Clan,Anger,0
"And I'm a drop it on yo f***in' head, ha ha",Drop the World,Lil Wayne,Anger,0
The kings from Memphis man riding in my Chevy truck,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,0
"You kick up the leaves, and the magic is lost",Bad Day,Daniel Powter,Sad,2
Someone get this freak a leash,Hip Hop Sinister,Hopsin,Anger,0
"The colors of the rainbow, so pretty in the sky",What a Wonderful World,Ledisi,Joy,1
"Oh, I feel it so, so deep inside",Why Hide,Mark Ronson,Sad,2
Do the chairs in your parlor seem empty and bare?,Are You Lonesome Tonight,Elvis Presley,Sad,2
sharing everything you do,I Wanna Grow Old With You,Westlifes,Sad,2
Childhood living is easy to do,Wild Horses,The Rolling Stones,Sad,2
Fore we find out where yo' bitch get her hair and nails done,I’m Supposed to Die Tonight,50 Cent,Anger,0
So I'm sorry to my unknown lover,Sorry,Halsey,Sad,2
"The face I came to know is missin', too",When You're Gone,Avril Lavigne,Sad,2
Nowhere you can be that isn't where you're meant to be,All You Need is Love,The Beatles ,Joy,1
"I wish nothing but the best for you, too",100 Years,Five for Fighting,Sad,2
"Show no mercy, B.K., nigga, thirsty thirsty",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
Yeah!,I’m Supposed to Die Tonight,50 Cent,Anger,0
Always comes before a fall,Love Is Like Oxygen,Sweet,Joy,1
Shine a light through an open door,We Found Love,Rihanna,Joy,1
"Fuck with me, I been through Hell, shut the hell up",Kill You,Eminem,Anger,0
Punk gay sensitive little dick bastards,I Don't Give a Fuck,Tupac Shakur,Anger,0
I love you 'til the last of snow disappears,"I Like You So Much, You'll Know It",Honey Jemlan,Joy,1
But I form like Voltron and blast you with my shoulder missiles,Just Don't Give a Fuck (a cappella),Eminem,Anger,0
Tell me that it wasn't my fault,Genesis,ARMORS,Anger,0
They tell me your passion's gone away,Bad Day,Daniel Powter,Sad,2
You better keep your mind on the real shit,I Don't Give a Fuck,Tupac Shakur,Anger,0
"I cry when angels deserve to die, die, die",Angry White Boy Polka,Weird Al Yankovic,Anger,0
"My dog died, they put him in a plastic bag (Lord)",3Hunna,Chief Keef,Anger,0
When I was your man,When I Was Your Man,Bruno Mars,Sad,2
"Free me of your life, inside my heart dies",Dead Bodies Everywhere,Korn,Anger,0
