Lyric,Title,Singer,Emotion,Label
Anus blocked to I'll dick the whole she dislikes more,Robalni,Syphilic,Disgusting,4
One true time I'd hold to,My Heart Will Go On,Celine Dion,Joy,0
"Although you've been gone for a long, long time, ooh yeah yeah",Sometimes I Cry,Eric Benét,Sad,2
"If I had a chance at all
I'd build a road that never ends
Chinese envy
No damn waiting
I'll be with you roller skating",Roller Skating,INXS,Joy,0
I'm looking in,Angry White Boy Polka,Weird Al Yankovic,Anger,1
In your darkest night,Maps,Maroon 5,Sad,2
I felt a rush of blood in my veins,Female Robbery,The Neighbourhood,Anger,1
Skull is fractured by the pounding,They Deserve to Die,Cannibal Corpse,Fear,3
We hope you have fun The near and the dear one The old and the young,Happy Xmas,John Lennon,Joy,0
In a cereal box on top of your stereo,Kill You,Eminem,Anger,1
Looking so crazy in love's,Crazy in Love,Beyoncé,Joy,0
Where are you now,Faded,Alan Walker,Sad,2
I miss holding your hand,Do you ever,Justin Vasquez,Sad,2
"Bury a friend, I wanna end me",bury a friend,Billie Eilish,Anger,1
"My tank is on empty, no patience is in me",The Way I Am,Eminem,Anger,1
"Remember please and thank you
'Cause they're the magic words",Please And Thank You,Barney,Joy,0
"Smuggle yey from Medellín and vacation in Belize, believe me",Agony Fires,Army of the Pharaohs,Anger,1
If I could capture the rage of today's youth and bottle it,Fight Music,D12,Anger,1
"You know how movin', right",Crunk Muzik,The Diplomats,Anger,1
I wish you were here,Wish You Were Here,Avril Lavigne,Sad,2
"And it's my fault, keep niggaz on point ducking down",Get It On The Floor,DMX,Anger,1
I'm so lonesome I could cry,I'm so Lonesome I Could Cry,Hank Williams,Sad,2
"Even if I was wrong
You know I'm never wrong
Why disagree?
Why, why disagree?",Dear future Husband,Meghan Trainor,Disgusting,4
So I say a litte pray,My Love,Westlifes,Sad,2
"Are you hanging up your stocking on the wall?
It's the time that every Santa has a ball",Merry Xmas Everybody,Slade,Joy,0
Have I found you?,"Flightless Bird, American Mouth",Iron & Wine,Sad,2
You should've known when you started,You Don't Want Drama,8Ball & MJG,Anger,1
